episode,timestep,reward
1,3000,-189.1919
2,6000,-996.4016
3,8000,-655.2837
4,11000,-1052.9768
5,13000,-418.9748
6,16000,-705.5502
7,18000,-409.7532
8,21000,-574.5352
9,23000,-542.2955
10,26000,-295.5211
11,28000,-973.2474
12,31000,-648.7623
13,33000,-1317.0767
14,36000,-315.9003
15,38000,-519.7275
16,41000,-229.8551
17,43000,-802.2492
18,46000,-1342.983
19,48000,-370.9103
20,51000,-1129.0338
21,53000,-704.1561
22,56000,-528.5386
23,58000,-476.4177
24,61000,-526.1557
25,63000,-336.5162
26,66000,-444.1855
27,68000,-335.0466
28,71000,-615.083
29,73000,-726.5716
30,76000,-195.826
31,78000,-640.215
32,81000,-279.3501
33,83000,-171.8872
34,86000,-222.6475
35,88000,-528.9085
36,91000,-538.7864
37,93000,-371.3576
38,96000,-202.5929
39,98000,-616.553
40,101000,-327.3361
41,103000,-576.0329
42,106000,-397.1271
43,108000,-309.65
44,111000,-204.223
45,113000,-398.8226
46,116000,-502.2433
47,118000,-603.4624
48,121000,-125.2107
49,123000,-566.3129
50,126000,-310.6343
51,128000,-858.8786
52,131000,-1245.3534
53,133000,-765.1433
54,136000,-446.9494
55,138000,-455.3584
56,141000,-692.9118
57,143000,-557.2669
58,146000,-463.1699
59,148000,-278.1283
60,151000,-1313.7886
61,153000,-643.3274
62,156000,-214.778
63,158000,-760.8609
64,161000,-435.744
65,163000,-644.7552
66,166000,-410.8603
67,168000,-904.4531
68,171000,-399.7373
69,173000,-654.3943
70,176000,-786.6627
71,178000,-599.3106
72,181000,-618.6008
73,183000,-255.9985
74,186000,-467.1393
75,188000,-179.6354
76,191000,-97.3744
77,193000,-354.0782
78,196000,-122.5166
79,198000,-685.561
80,201000,-417.4229
81,203000,-152.4755
82,206000,-201.683
83,208000,-342.1907
84,211000,-805.6796
85,213000,-61.5399
86,216000,-236.9183
87,218000,-1436.0295
88,221000,-482.6429
89,223000,-554.3583
90,226000,-607.7326
91,228000,-506.0342
92,231000,-1227.9097
93,233000,-394.3874
94,236000,-565.2674
95,238000,-178.7142
96,241000,-430.8526
97,243000,-346.5315
98,245000,-20.2016
99,247000,-112.44
100,250000,-124.9272
101,252000,-416.8971
102,255000,-235.5614
103,257000,-147.3782
104,260000,-96.04
105,261000,62.689
106,263000,-914.8776
107,266000,-409.4972
108,268000,-209.3317
109,271000,-134.1801
110,273000,-793.5888
111,276000,-534.7364
112,278000,-294.3727
113,281000,-920.1356
114,283000,-205.1452
115,286000,-1630.6582
116,288000,-621.4478
117,291000,-595.7331
118,293000,-284.8631
119,296000,-62.0203
120,298000,-117.4254
121,301000,-225.6111
122,303000,-254.2629
123,306000,-790.3168
124,308000,-50.7727
125,311000,-564.7019
126,313000,-217.8813
127,316000,-1103.5337
128,318000,-237.7159
129,319000,78.4168
130,322000,-608.9782
131,324000,-781.5926
132,327000,-445.85
133,329000,-414.5595
134,332000,-866.0681
135,334000,-315.9731
136,337000,-371.0354
137,339000,-147.669
138,342000,-606.7025
139,344000,-35.2774
140,347000,-387.5981
141,348000,81.2514
142,350000,74.2091
143,352000,-71.7475
144,355000,-83.5551
145,357000,-1115.0959
146,360000,-376.6972
147,362000,-280.7458
148,365000,-164.8737
149,367000,-93.9605
150,369000,62.8281
151,371000,-590.5162
152,374000,-317.2877
153,376000,69.2806
154,379000,-73.3187
155,381000,-99.3292
156,384000,-906.6194
157,386000,-459.3091
158,387000,77.9207
159,390000,-54.0645
160,392000,-91.3789
161,395000,-156.6552
162,397000,-122.5137
163,400000,-173.5298
164,402000,-341.3531
165,403000,92.56
166,405000,-322.6621
167,408000,-59.5888
168,410000,-322.8145
169,412000,56.431
170,415000,-555.2594
171,417000,-146.101
172,420000,-978.0182
173,422000,-226.8581
174,425000,-1752.441
175,427000,-319.7932
176,430000,-570.2944
177,432000,-598.3895
178,435000,-596.2102
179,437000,-173.3036
180,439000,66.2742
181,440000,56.5107
182,443000,-81.431
183,445000,-1022.6628
185,448000,-58.5926
186,451000,-414.6493
187,453000,-347.2002
188,455000,60.0477
189,457000,-51.8089
190,460000,-115.4752
191,462000,-857.1598
192,465000,-51.0235
193,467000,-97.2117
194,470000,-594.7802
195,472000,-71.1669
196,475000,-97.8697
197,476000,89.712
198,478000,-336.7788
199,479000,74.7575
200,482000,-73.6687
201,484000,-70.9625
202,486000,8.221
203,488000,-295.5917
204,491000,-110.2313
205,492000,82.0453
206,494000,-693.3837
207,497000,-61.4627
208,498000,45.6153
210,501000,-23.2774
211,504000,-287.1222
212,505000,69.0713
213,507000,-58.6171
214,510000,-268.1037
215,512000,40.2303
216,515000,-289.4296
217,517000,-64.2643
218,520000,-62.2189
219,522000,-349.259
220,523000,81.2445
221,524000,18.5335
222,525000,72.659
223,526000,85.689
224,528000,-327.7065
225,530000,65.8991
227,531000,55.3116
228,534000,-56.0535
229,536000,46.7157
230,538000,-137.9266
231,541000,-317.7489
232,542000,70.944
233,544000,-254.7829
235,546000,61.1437
236,549000,-127.7889
237,550000,47.1448
238,551000,60.9905
240,553000,74.9536
241,554000,73.243
242,557000,-443.1277
243,558000,90.5121
244,559000,68.2712
245,562000,-67.5759
246,564000,-164.1906
247,567000,-330.0704
248,569000,42.0679
249,571000,-309.0075
250,573000,-101.139
251,574000,93.37
252,575000,46.1248
254,576000,91.4755
255,577000,20.4031
256,580000,-336.5345
257,581000,67.3234
258,583000,-902.9956
259,584000,72.2715
260,585000,28.8642
261,588000,-268.5591
262,590000,-646.7665
263,591000,74.7489
264,592000,-7.1025
265,594000,75.0605
266,596000,-372.4372
267,599000,-227.4739
268,601000,-587.414
269,602000,-2.7247
270,605000,-264.6746
271,606000,90.982
272,607000,81.4581
273,608000,73.9775
274,609000,45.1987
275,611000,-32.1427
276,613000,-7.3109
277,614000,35.2414
278,616000,-290.0227
280,619000,-112.3096
281,622000,-85.9521
282,624000,44.3537
283,626000,-58.3475
284,627000,48.4667
285,630000,-181.261
286,632000,-123.3927
287,633000,74.9673
288,636000,-403.4905
289,637000,36.0986
290,639000,-8.6015
291,640000,45.3077
292,641000,29.2832
293,643000,-188.5056
294,646000,-778.8033
295,648000,-346.4515
296,651000,-479.5208
297,653000,-277.0867
298,654000,78.2001
299,655000,86.5842
300,656000,90.9115
302,658000,38.4555
303,660000,-7.3113
304,662000,-214.0362
305,663000,90.9879
306,665000,-133.502
307,666000,25.6131
308,667000,39.402
309,668000,94.5768
310,670000,-74.5687
311,671000,9.9799
313,672000,67.3132
315,673000,93.6942
316,676000,63.6601
317,677000,83.051
318,679000,-45.3177
319,681000,8.4067
320,682000,52.8634
321,685000,-110.6301
322,687000,0.1166
323,688000,83.2603
324,690000,-82.7703
325,691000,90.2653
326,693000,-116.676
327,694000,90.7473
328,696000,-145.9838
329,697000,85.4186
330,700000,-98.3595
331,702000,-108.976
332,705000,-120.5354
333,707000,-165.6628
334,710000,-450.8638
335,712000,-179.2995
337,713000,91.0416
338,716000,-339.6899
339,718000,-123.4261
340,721000,-170.685
341,723000,-198.2861
343,726000,-31.9504
344,727000,88.0824
345,730000,-500.1761
346,732000,31.2055
347,733000,91.8444
348,735000,-76.2313
349,736000,86.2389
350,737000,6.4025
351,740000,-106.4149
352,742000,-73.2775
353,743000,92.5131
354,745000,-115.5424
355,747000,7.9542
356,750000,-148.9611
357,752000,-359.2995
358,755000,-165.878
359,757000,-217.4719
361,758000,92.033
362,761000,-335.5491
363,763000,-107.3289
365,766000,-42.5751
367,768000,72.0335
368,769000,86.9309
369,771000,-540.0629
371,773000,74.3834
373,775000,66.9296
374,776000,91.5787
375,779000,-46.1215
376,781000,33.3289
377,782000,76.3182
378,784000,-388.5319
380,786000,80.632
382,789000,-73.2097
384,791000,51.0792
386,792000,94.1152
387,793000,78.6355
388,794000,94.0496
389,796000,-22.1188
391,797000,84.7352
392,799000,-15.3105
393,800000,2.7117
394,801000,59.5566
395,802000,72.143
396,803000,-27.7585
397,805000,-103.2388
398,806000,90.7496
400,807000,82.1395
401,809000,-44.1087
402,810000,-68.3272
403,811000,87.987
405,813000,19.5399
406,814000,84.2247
407,816000,-96.2128
408,817000,79.3097
409,819000,-96.2498
411,820000,52.7886
412,821000,86.0893
413,823000,-71.751
414,825000,-130.3371
415,826000,-8.1121
416,828000,-6.5994
417,829000,71.9571
418,830000,61.4521
419,831000,-8.3969
420,832000,80.8236
421,833000,12.5448
422,834000,-39.1648
424,836000,49.5354
425,837000,86.5752
427,838000,90.5723
428,841000,-110.7354
429,842000,38.4916
430,843000,-8.7699
432,845000,6.7783
433,846000,83.6902
434,847000,-13.3426
435,849000,-1.1151
436,850000,-21.8335
437,851000,72.5449
438,852000,11.3788
439,854000,1.5347
441,855000,80.5313
442,857000,-30.1391
443,858000,-21.6991
444,859000,-13.1562
445,860000,63.291
446,861000,7.6306
447,862000,43.8462
448,864000,-27.403
449,865000,2.8335
450,866000,16.8074
451,867000,54.5911
452,868000,32.2804
453,869000,-8.0122
454,871000,-11.3927
456,872000,79.8817
457,874000,-13.238
458,875000,40.5159
459,876000,21.9982
460,877000,49.3441
461,878000,66.2015
463,879000,53.1576
464,880000,87.5145
465,881000,80.6182
467,882000,84.7986
468,884000,-10.1765
470,885000,58.2757
471,886000,76.4773
472,887000,55.4626
473,888000,81.413
474,889000,22.9668
475,890000,37.8668
476,891000,82.1967
477,892000,45.3221
478,893000,84.7441
479,894000,41.1367
480,895000,69.508
481,896000,22.0772
482,897000,82.9778
483,898000,45.8456
485,899000,88.9302
486,901000,-3.6603
487,902000,20.7879
488,903000,31.9472
489,904000,27.311
490,905000,29.9753
491,906000,42.5467
492,907000,56.8084
493,908000,62.2363
494,909000,90.187
495,910000,46.6318
497,911000,62.2947
498,912000,85.6144
499,913000,86.134
500,914000,46.8624
502,915000,64.1334
503,917000,-2.9794
505,918000,66.5231
506,919000,90.1062
507,920000,32.0301
508,921000,36.3037
509,922000,68.1899
510,923000,72.6281
511,924000,30.7245
513,925000,85.4838
514,926000,39.1301
515,927000,45.6965
516,928000,78.2761
517,929000,58.1508
518,930000,59.7981
519,931000,54.2983
521,932000,69.7816
522,933000,63.8229
523,934000,23.404
524,935000,3.1721
525,936000,87.8322
526,937000,88.1705
527,938000,81.5563
529,939000,67.8441
530,940000,85.5079
532,941000,95.0497
533,943000,-46.9028
535,944000,67.3329
536,945000,33.163
537,946000,84.9093
539,947000,89.6754
540,948000,36.433
541,949000,69.9537
542,950000,73.7524
543,951000,86.9133
545,952000,87.8935
546,953000,39.8829
547,954000,86.8941
548,955000,36.4777
549,956000,64.6789
550,957000,47.5308
551,958000,91.2798
553,959000,65.7115
554,960000,28.6361
555,961000,81.5195
556,962000,47.2762
557,963000,33.2524
558,964000,88.562
559,965000,84.6646
561,966000,57.1102
562,967000,95.0316
563,968000,40.451
565,969000,94.4116
567,970000,92.8328
568,972000,-43.5093
569,973000,81.3442
570,974000,55.5609
572,975000,70.0596
573,976000,53.9868
575,977000,90.7872
576,978000,94.9914
577,979000,-51.8633
578,980000,53.6115
579,981000,83.6018
581,982000,67.0388
582,983000,90.5085
583,984000,39.7587
584,985000,92.629
586,986000,76.3163
587,987000,92.2518
589,988000,80.0851
590,989000,28.2967
591,990000,64.7795
592,991000,54.8685
593,992000,63.9594
594,993000,64.9414
595,994000,58.7714
597,995000,73.7151
598,996000,88.5791
599,997000,42.7511
600,998000,49.4988
602,999000,77.8712
603,1000000,96.0781
604,1001000,22.9039
606,1002000,88.3609
607,1003000,86.3751
609,1004000,93.1591
610,1005000,94.0254
611,1006000,61.516
613,1007000,87.4333
614,1008000,66.876
615,1009000,82.2434
617,1010000,85.3544
618,1011000,61.9091
619,1012000,66.0401
620,1013000,74.471
622,1014000,84.3543
623,1015000,44.5361
624,1016000,88.5217
625,1017000,56.0087
627,1018000,73.3411
628,1019000,63.7466
629,1020000,91.2238
630,1021000,59.0391
632,1022000,71.3825
633,1023000,90.7363
634,1024000,59.7257
